n,m,weyl_a,weyl_b,weyl_c
3,1,0.7853981633974483,0.2526802551420788,0.08885530042255585
6,2,0.7853981633974481,0.2526802551420788,-0.08885530042255585
9,3,0.7853981633974482,0.2526802551420788,-0.08885530042255585
12,4,0.7853981633974483,0.2526802551420788,0.08885530042255585
15,5,0.7853981633974482,0.2526802551420788,0.08885530042255585
18,6,0.7853981633974481,0.2526802551420788,-0.08885530042255585
21,7,0.7853981633974482,0.2526802551420788,-0.08885530042255585
24,8,0.7853981633974481,0.2526802551420788,-0.08885530042255585
27,9,0.7853981633974483,0.2526802551420788,0.08885530042255585
30,10,0.7853981633974483,0.2526802551420788,0.08885530042255585
33,11,0.7853981633974482,0.2526802551420788,-0.08885530042255585
36,12,0.7853981633974482,0.2526802551420788,-0.08885530042255585
39,13,0.7853981633974483,0.2526802551420788,0.08885530042255585
42,14,0.7853981633974483,0.2526802551420788,0.08885530042255585
45,15,0.7853981633974481,0.2526802551420788,-0.08885530042255585
48,16,0.7853981633974483,0.2526802551420788,0.08885530042255585
51,17,0.7853981633974483,0.2526802551420788,0.08885530042255585
54,18,0.7853981633974481,0.2526802551420788,-0.08885530042255585
57,19,0.7853981633974482,0.2526802551420788,-0.08885530042255585
60,20,0.7853981633974482,0.2526802551420788,0.08885530042255585
