kind,partition,n,k,giv_gates,giv_depth,cs_gates,cs_depth
staircase,"(1,)",1,2,1,1,1,1
staircase,"(2, 1)",3,3,3,3,3,3
staircase,"(3, 2, 1)",6,4,6,5,6,3
staircase,"(4, 3, 2, 1)",10,5,10,7,10,7
staircase,"(5, 4, 3, 2, 1)",15,6,15,9,15,7
staircase,"(6, 5, 4, 3, 2, 1)",21,7,21,11,21,11
staircase,"(7, 6, 5, 4, 3, 2, 1)",28,8,28,13,28,7
staircase,"(8, 7, 6, 5, 4, 3, 2, 1)",36,9,36,15,36,15
staircase,"(9, 8, 7, 6, 5, 4, 3, 2, 1)",45,10,45,17,45,13
staircase,"(10, 9, 8, 7, 6, 5, 4, 3, 2, 1)",55,11,55,19,55,19
random,"(6, 1)",7,3,3,3,3,3
random,"(18, 11, 10, 1)",40,5,10,7,10,7
random,"(5, 1, 1)",7,3,3,3,3,3
random,"(4, 3)",7,3,3,3,3,3
random,"(35, 8, 2)",45,4,6,5,6,3
random,"(23, 5, 2, 2)",32,4,6,5,6,3
random,"(17, 5, 1)",23,4,6,5,6,3
random,"(31, 9, 7, 1)",48,5,10,7,10,7
random,"(16, 9, 3, 3, 2, 1)",34,6,15,9,15,7
random,"(5,)",5,2,1,1,1,1
random,"(23, 14, 8, 3, 2)",50,6,15,9,15,7
random,"(20, 2)",22,3,3,3,3,3
random,"(26, 2)",28,3,3,3,3,3
random,"(36, 3, 3, 3, 1, 1)",47,4,6,5,6,3
random,"(3, 1)",4,3,3,3,3,3
random,"(9, 2)",11,3,3,3,3,3
random,"(42, 8, 6)",56,4,6,5,6,3
random,"(16, 9, 1)",26,4,6,5,6,3
random,"(10, 9, 2, 1, 1)",23,5,10,7,10,7
random,"(18, 4, 4, 1, 1, 1)",29,4,6,5,6,3
random,"(24, 11)",35,3,3,3,3,3
random,"(19, 5, 2, 1)",27,5,10,7,10,7
random,"(20, 12, 5, 5, 1)",43,5,10,7,10,7
random,"(22, 5)",27,3,3,3,3,3
random,"(22, 1, 1)",24,3,3,3,3,3
random,"(11, 4, 1)",16,4,6,5,6,3
random,"(9, 1)",10,3,3,3,3,3
random,"(11, 1, 1)",13,3,3,3,3,3
random,"(39, 8, 2)",49,4,6,5,6,3
random,"(21, 4, 3, 1)",29,5,10,7,10,7
random,"(16, 10, 5, 1, 1, 1)",34,5,10,7,10,7
random,"(7, 5, 2, 2)",16,4,6,5,6,3
random,"(25, 3, 1)",29,4,6,5,6,3
random,"(5, 1)",6,3,3,3,3,3
random,"(23, 7, 3, 1, 1)",35,5,10,7,10,7
random,"(28, 3, 2, 1)",34,5,10,7,10,7
random,"(27,)",27,2,1,1,1,1
random,"(5, 5, 4)",14,3,3,3,3,3
random,"(32, 12, 5, 2, 1)",52,6,15,9,15,7
random,"(17, 1)",18,3,3,3,3,3
random,"(9, 7, 2, 1)",19,5,10,7,10,7
random,"(25, 6)",31,3,3,3,3,3
random,"(17, 10, 7, 6, 1)",41,6,15,9,15,7
random,"(6, 6, 4, 1, 1, 1, 1)",20,4,6,5,6,3
random,"(31, 7, 5, 1)",44,5,10,7,10,7
random,"(10, 1)",11,3,3,3,3,3
random,"(30, 1)",31,3,3,3,3,3
random,"(5, 4, 1)",10,4,6,5,6,3
random,"(14, 6, 3, 3, 2, 2, 1)",31,6,15,9,15,7
random,"(24, 9, 6)",39,4,6,5,6,3
random,"(3, 2, 1, 1)",7,4,6,5,6,3
random,"(33, 22, 2, 1)",58,5,10,7,10,7
random,"(20, 13, 7, 3)",43,5,10,7,10,7
random,"(14, 2, 1)",17,4,6,5,6,3
random,"(22, 20, 2, 1, 1, 1, 1)",48,5,10,7,10,7
random,"(22, 18, 8, 4, 2, 1)",55,7,21,11,21,11
random,"(17, 2, 1)",20,4,6,5,6,3
random,"(13, 12, 7, 1, 1)",34,5,10,7,10,7
random,"(23, 17, 4, 1, 1)",46,5,10,7,10,7
