diagram,target_p,target_q,path
"(4, 2, 1)",1,2,"(row=0,col=3) -> (row=2,col=1)"
"(4, 2, 1)",1,2,"(row=0,col=1) -> (row=1,col=2)"
"(4, 2, 1)",1,4,"(row=0,col=2) -> (row=0,col=0)"
"(3, 2, 1, 1)",1,2,"(row=0,col=1) -> (row=1,col=2)"
"(3, 2, 1, 1)",1,2,"(row=0,col=3) -> (row=2,col=1)"
"(4, 3, 1)",1,4,"(row=0,col=1) -> (row=1,col=2)"
"(4, 3, 1)",1,4,"(row=0,col=3) -> (row=2,col=1)"
"(4, 2, 1, 1)",7,4,"(row=2,col=1) -> (row=1,col=0)"
"(4, 2, 1, 1)",7,4,"(row=3,col=1) -> (row=2,col=0)"
"(4, 2, 1, 1)",7,4,"(row=2,col=0) -> (row=2,col=0)"
"(4, 2, 1, 1)",7,4,"(row=3,col=0) -> (row=1,col=0)"
"(4, 2, 1, 1)",7,4,"(row=1,col=1) -> (row=2,col=0)"
"(4, 2, 1, 1)",7,4,"(row=1,col=0) -> (row=1,col=0)"
"(3, 2, 2, 1)",1,1,"(row=0,col=3) -> (row=2,col=1)"
"(3, 2, 2, 1)",1,1,"(row=0,col=1) -> (row=1,col=2)"
"(3, 2, 2, 1)",4,1,"(row=1,col=3) -> (row=1,col=1)"
"(3, 2, 2, 1)",4,1,"(row=2,col=3) -> (row=2,col=1)"
"(3, 2, 2, 1)",4,1,"(row=3,col=3) -> (row=1,col=1)"
"(3, 2, 2, 1)",4,1,"(row=2,col=1) -> (row=1,col=2)"
"(3, 2, 2, 1)",4,1,"(row=3,col=1) -> (row=2,col=2)"
"(3, 2, 2, 1)",4,1,"(row=1,col=1) -> (row=2,col=2)"
"(3, 2, 1, 1, 1)",7,3,"(row=1,col=1) -> (row=2,col=0)"
"(3, 2, 1, 1, 1)",7,3,"(row=1,col=0) -> (row=1,col=0)"
"(3, 2, 1, 1, 1)",7,3,"(row=2,col=1) -> (row=1,col=0)"
"(3, 2, 1, 1, 1)",7,3,"(row=3,col=1) -> (row=2,col=0)"
"(3, 2, 1, 1, 1)",7,3,"(row=2,col=0) -> (row=2,col=0)"
"(3, 2, 1, 1, 1)",7,3,"(row=3,col=0) -> (row=1,col=0)"
"(5, 3, 1)",7,1,"(row=2,col=1) -> (row=1,col=0)"
"(5, 3, 1)",7,1,"(row=3,col=1) -> (row=2,col=0)"
"(5, 3, 1)",7,1,"(row=1,col=0) -> (row=1,col=0)"
"(5, 3, 1)",7,1,"(row=1,col=1) -> (row=2,col=0)"
"(5, 3, 1)",7,1,"(row=2,col=0) -> (row=2,col=0)"
"(5, 3, 1)",7,1,"(row=3,col=0) -> (row=1,col=0)"
"(5, 2, 1, 1)",2,5,"(row=0,col=2) -> (row=0,col=0)"
"(5, 2, 1, 1)",3,5,"(row=0,col=1) -> (row=1,col=2)"
"(5, 2, 1, 1)",3,5,"(row=0,col=3) -> (row=2,col=1)"
"(4, 3, 2)",1,3,"(row=0,col=1) -> (row=1,col=2)"
"(4, 3, 2)",1,3,"(row=0,col=3) -> (row=2,col=1)"
"(4, 3, 2)",3,1,"(row=2,col=1) -> (row=1,col=2)"
"(4, 3, 2)",3,1,"(row=3,col=1) -> (row=2,col=2)"
"(4, 3, 2)",3,1,"(row=2,col=3) -> (row=2,col=1)"
"(4, 3, 2)",3,1,"(row=3,col=3) -> (row=1,col=1)"
"(4, 3, 2)",3,1,"(row=1,col=3) -> (row=1,col=1)"
"(4, 3, 2)",3,1,"(row=1,col=1) -> (row=2,col=2)"
"(4, 3, 1, 1)",3,7,"(row=2,col=2) -> (row=2,col=2)"
"(4, 3, 1, 1)",3,7,"(row=3,col=2) -> (row=1,col=2)"
