diagram,gate_index,qubits,theta,phi,lambda
"[3, 2, 1]",0,[0],5.49778714378143,-10.353044973275004,21.991148572588752
"[3, 2, 1]",1,[1],7.298900992530757,4.499447681432641,7.967442372855033
"[3, 2, 1]",3,[0],4.890099581236673,6.283185306956203,-5.354918292869211
"[3, 2, 1]",4,[1],4.304071588867963,5.248441585301394,7.094890476390599
"[3, 2, 1]",6,[1],-1.025533230790841,-2.198569863982191,5.662681631298596
"[4, 2, 1]",0,[0],0.7665032170276868,1.1617770960672905e-09,-1.1897836823620327e-09
"[4, 2, 1]",1,[1],0.2857168531805761,-3.1415926521401016,3.141592652144477
"[4, 2, 1]",3,[0],1.8850014345792272,3.1415926541943113,0.0
"[4, 2, 1]",4,[1],2.0858619947127695,-3.1415926539442887,-7.196532259001742e-10
"[4, 2, 1]",6,[0],2.960710000663188,-3.1415926530973857,0.0
"[4, 2, 1]",7,[1],0.7753323915149652,-1.3113368169115347e-09,3.141592655425915
"[3, 2, 1, 1]",0,[0],2.337299543815304,7.3888608564942615e-09,-3.1415926470900013
"[3, 2, 1, 1]",1,[1],2.815018661123299,3.1415926456728833,-4.752798155038818e-09
"[3, 2, 1, 1]",3,[0],1.2994312272414152,3.1415926324078365,0.0
"[3, 2, 1, 1]",4,[1],2.085861994716278,3.69538843969508e-09,-6.28318529967766
"[3, 2, 1, 1]",6,[0],2.960710000659308,-2.072730787006094e-08,3.141592653589793
"[3, 2, 1, 1]",7,[1],0.7049243144386875,9.19171538882324e-09,6.283185295111593
"[5, 2, 1]",0,[0],2.384097499419385,-5.399251712390196e-09,3.1415926524086117
"[5, 2, 1]",1,[1],0.3454636170358084,1.0878254297352896e-08,3.14159264714316
"[5, 2, 1]",3,[0],1.947770869074391,-1.4098024571335696e-08,0.0
"[5, 2, 1]",4,[1],2.079121655511752,-3.1415926539726633,-7.866414186707971e-10
"[5, 2, 1]",6,[0],0.27167412041928113,1.280553796334516e-08,-3.141592653589793
"[5, 2, 1]",7,[1],0.7773479700721357,-1.008041650152336e-09,-6.283185305765339
"[4, 3, 1]",0,[0],1.5707963281046438,2.1081073757956714,7.85398163490699
"[4, 3, 1]",1,[1],-1.9854582502547402,7.85398163409817,6.283185309151467
"[4, 3, 1]",3,[0],4.302975719056858,-0.0008106332744901398,0.08491205503814615
"[4, 3, 1]",4,[1],3.9654068874493,2.044009164559126,3.7240812673516097
"[4, 3, 1]",6,[0],4.712388982379928,1.570796326997117,-1.6771139244948765
"[4, 3, 1]",7,[1],6.283185309215577,2.489445125735477,5.364536507220742
"[4, 2, 1, 1]",0,[0],2.356194490653888,4.722509251810297,3.14159265418214
"[4, 2, 1, 1]",1,[1],1.3570284142609452,5.16479250399575,4.609645425895846
"[4, 2, 1, 1]",3,[0],4.308674294896464,6.283185308118029,4.702268711116082
"[4, 2, 1, 1]",4,[1],1.1346799595371688,1.7970657799054386,3.579293098458728
"[4, 2, 1, 1]",6,[1],2.38672571083532,3.62832209394947,0.3678967675511693
"[3, 2, 2, 1]",0,[0],2.1930194316389056,-1.3039036517170643e-09,3.1415926531427054
"[3, 2, 2, 1]",1,[1],2.9079607902684566,2.4743652339075033e-09,1.0564583686354062e-10
"[3, 2, 2, 1]",3,[0],1.5087209915259117,7.30375715463083e-09,3.141592653589793
"[3, 2, 2, 1]",4,[1],1.161383066702144,-6.312884443647693e-10,1.5858683743146167e-09
"[3, 2, 2, 1]",6,[0],3.0344644241199292,-6.283185303135943,0.0
"[3, 2, 2, 1]",7,[1],2.4750729815820396,-3.1415926526800524,1.157462792278352e-09
"[3, 2, 1, 1, 1]",0,[0],0.8133011726268322,-3.141592653589127,-1.0385026172343714e-12
"[3, 2, 1, 1, 1]",1,[1],0.39828102619136213,-3.141592653589876,-3.1415926535894054
"[3, 2, 1, 1, 1]",3,[0],1.2504924337663634,3.141592653591749,0.0
"[3, 2, 1, 1, 1]",4,[1],1.0624709980687206,3.1415926535903482,3.1415926535886527
"[3, 2, 1, 1, 1]",6,[0],0.27167412041340566,3.141592653586657,-3.141592653589793
"[3, 2, 1, 1, 1]",7,[1],0.6617343115549207,-1.5507595207964187e-12,3.1415926535917587
"[6, 2, 1]",0,[0],0.7518633270245909,-3.141592663804685,9.14529274531617e-09
"[6, 2, 1]",1,[1],0.3862045311360216,7.908561583391815e-09,-3.141592659185843
"[6, 2, 1]",3,[0],1.983610529421786,8.87926013110617e-09,0.0
"[6, 2, 1]",4,[1],2.069276763864485,3.4904252821377213e-09,3.1415926608905416
"[6, 2, 1]",6,[0],2.813719094156514,3.1415926643794596,0.0
"[6, 2, 1]",7,[1],0.7786685946100165,7.359021392261411e-09,6.283185296841694
"[5, 3, 1]",0,[0],0.5997526415215566,-3.1415926443882602,-1.0860602195350566e-08
"[5, 3, 1]",1,[1],2.9895625065679083,-6.283185303564322,-2.0511232712294714e-09
"[5, 3, 1]",3,[0],1.954427165609704,6.2831852878760905,0.0
