diagram,det,residual,theta1,theta2,a,b,theta3,theta4,n_cnots
"(3, 2, 1)",-1.0,4.6259814639421515e-18,0.8015299941838797,-2.6907271958374417,1.7485069277791307,2.2379066833834784,-2.961007438344036,0.6639544330351781,3
"(4, 2, 1)",-1.0,9.186400563431173e-18,-2.275720644035568,0.6237760841563936,-1.842161426820426,-2.2188433681841158,0.32657399202603693,-2.475583531559026,3
"(3, 2, 1, 1)",-1.0,4.850261281072471e-20,0.7954639353374822,-2.849616339816981,1.885001434580123,2.2483433970676363,-2.8558758002954976,0.6844505010916732,3
"(5, 2, 1)",-1.0,3.910134979942734e-20,0.9090620152207762,0.7030472535343623,1.891100219789461,-2.21458103677507,-2.7433116275225684,-2.487394416153029,3
"(4, 3, 1)",-0.9999999999999998,8.318309010502522e-17,-2.237316001671516,0.38525258696114884,-1.6328716659902693,-2.134917932780105,0.23363185807916925,-2.651103470706042,3
"(4, 2, 1, 1)",-0.9999999999999997,2.85542601408103e-17,0.8771531603249667,0.4627573374384494,1.9745110096493101,-2.2304280545366333,-2.7002223751441323,-2.458326722527313,3
"(3, 2, 2, 1)",-1.0,1.2728642527596437e-16,-2.460311003436539,0.3995307409062883,4.479215448161962,-2.411973482987877,0.06380426057372958,3.7815723387862423,3
"(3, 2, 1, 1, 1)",-0.9999999999999999,6.032059889412628e-19,0.7934483567851557,-2.937957111557455,1.9477708688452213,2.2584085485682963,-2.79612903449327,0.6813430337431998,3
"(6, 2, 1)",-0.9999999999999998,1.5757800865950795e-18,-1.5707963266115823,1.4260371674254877,-2.583993826942065,2.2672914097286947,2.281082363357371,2.4687021965487967,3
"(5, 3, 1)",-0.9999999999999998,3.89676670130435e-20,0.9452731265852399,0.5615099558560032,1.7116989920297605,-2.1116121072882876,-2.7539183536518412,-2.64303181274155,3
"(5, 2, 1, 1)",-0.9999999999999998,3.8721093248382504e-18,0.9317912820036806,-2.599873761574782,2.0190982796461197,2.2278152386631165,-2.620768209769032,0.6702857194414372,3
"(4, 3, 2)",-0.9999999999999999,1.7973107270722426e-18,0.8532861202114167,-2.5404763447654863,1.710352656769262,2.143107474382225,-3.1025677458508882,0.7006563962652901,3
"(4, 3, 1, 1)",-1.0000000000000002,2.178896412872676e-20,0.9044146482157565,-2.9191296883022098,1.7621632571416002,2.1355654560290858,-2.7849348782993983,0.5166816162861987,3
"(4, 2, 2, 1)",-1.0000000000000002,4.9485824278497486e-20,-2.4044618877641897,-2.548809900896534,-1.9206610417588816,2.395646628472009,0.20387609856410718,0.6622097322183504,3
"(4, 2, 1, 1, 1)",-0.9999999999999999,2.488811774649695e-20,1.5627473844743012,1.0290774327360777,2.468176426951025,2.2278152391513593,-0.7684024110085289,2.47130693226797,3
"(3, 3, 2, 1)",-0.9999999999999999,7.17458321634362e-19,-2.418651231072456,0.39885989999827615,-1.609441637814211,-2.2686964032759125,0.13966128965147423,-2.355817804407624,3
"(3, 2, 2, 1, 1)",-0.9999999999999997,2.1607299445884157e-17,0.6828062995126425,-2.8897681887434055,1.9544271620792226,2.4233032608792247,-2.9895625053818136,0.6724326681854602,3
"(3, 2, 1, 1, 1, 1)",-0.9999999999999999,1.774557866018888e-19,-1.5707963272427932,0.8225204625370764,-2.58399382677445,2.214155706182711,2.4313066163907844,2.5011495514019764,3
"(7, 2, 1)",-1.0,9.104067722963698e-19,0.9643539427487723,0.7772352102623499,1.9464106064448736,-2.2148929777091686,-2.670609530778221,-2.5144326669681973,3
"(6, 3, 1)",-1.0,6.980681442398712e-20,0.9757671570495974,-2.499325025221003,1.7532608641190557,2.1043904375445015,-2.680605466273045,0.49068066513459735,3
"(6, 2, 1, 1)",-1.0,1.617776928500761e-18,-2.1700971553172175,-2.554440448769535,-2.04719141511171,2.228899509001418,0.5702956519156205,0.6561177171249157,3
"(5, 4, 1)",-1.0,4.920834884881731e-22,0.9714543776105996,-2.7862611875087975,1.5825686957028764,2.074483763849497,-2.888322545832851,0.40540976012912616,3
"(5, 3, 2)",-0.9999999999999998,2.201232072706225e-19,0.9165277199942196,-2.3640927104536744,1.7975823412792515,2.127058135187321,-2.952048480298833,0.7051872485460078,3
"(5, 3, 1, 1)",-1.0,1.1196048203473509e-22,0.960856880037631,-2.7442088194535756,1.8361858758407272,2.112597035969572,-2.6245592945341922,0.5224338276272615,3
"(5, 2, 2, 1)",-0.9999999999999999,2.8717378384143623e-19,-2.3654833889670157,-2.454540188812931,-1.9812174457626823,2.389140865798678,0.2787994130240842,0.6645213727739968,3
"(5, 2, 1, 1, 1)",-1.0000000000000002,2.0169962522800068e-22,1.5707963268010359,1.1199308687111358,2.3835518881680287,2.2379066847663136,-0.7853981633972805,2.4776382191208075,3
"(4, 3, 1, 1, 1)",-0.9999999999999998,6.757027987295585e-17,-2.233183954015666,0.1335895403820584,4.457284075014103,-2.1388647412541575,0.4250212542187543,3.6651760747214164,3
"(4, 2, 2, 1, 1)",-0.9999999999999999,1.0163799233912026e-19,-1.393033972202693,1.1734124923973577,-2.5659744649366116,2.1125970360630473,2.638852050591059,2.6191588258177014,3
"(4, 2, 1, 1, 1, 1)",-1.0000000000000002,9.537564360079977e-21,-1.5922052462166463,0.9836441219789124,-2.415865034263877,2.2288995092855735,2.3787714690801405,2.4854749355654597,3
"(3, 3, 2, 1, 1)",-0.9999999999999999,7.147846579772167e-17,0.6973781432289328,0.23806768847993284,1.7554303656278591,-2.274025357338985,-2.9108149417852305,-2.335391405540552,3
"(3, 2, 2, 2, 1)",-1.0,1.8355694511209435e-16,0.6023888894862703,0.37149030851224746,1.8240484963298729,-2.5061624829077367,3.153752919395197,3.7627455678755375,3
"(3, 2, 2, 1, 1, 1)",-1.0,3.0481849350426186e-18,0.6849105885146716,-2.973889601177741,2.0235551065113024,2.433185191875736,-2.9384127486661997,0.6733172121017894,3
"(3, 2, 1, 1, 1, 1, 1)",-1.0,9.333892484987032e-23,0.7911122893332544,-3.0399114948723387,2.006587072942732,2.275054281254706,-2.7249796478899153,0.6633541173780366,3
