index,entry,diagram,size,weyl_a,weyl_b,weyl_c
0,0,"(3, 2, 1)",6,0.7853981633974483,0.2526802551420788,0.08885530042255585
1,1,"(4, 2, 1)",7,0.7853981633974483,0.2575328339591237,0.1571025538924139
2,2,"(3, 2, 1, 1)",7,0.7853981633974482,0.2575328339591234,-0.13568254977480887
3,3,"(5, 2, 1)",8,0.7853981633974483,0.25416266436331997,0.18848727113473546
4,4,"(4, 3, 1)",8,0.7853981633974483,0.20470663066097866,0.1165867646147235
5,5,"(4, 2, 1, 1)",8,0.7853981633974482,0.26115741090302436,-0.20185734333026417
6,6,"(3, 2, 2, 1)",8,0.7853981633974483,0.20470663066097877,-0.031037668390437645
7,7,"(3, 2, 1, 1, 1)",8,0.7853981633974482,0.2541626643633199,-0.16015194651459197
8,8,"(6, 2, 1)",9,0.7853981633974483,0.24924021856871653,0.20640710127763312
9,9,"(5, 3, 1)",9,0.7853981633974483,0.2111848555831265,0.19181541940730268
10,10,"(5, 2, 1, 1)",9,0.7853981633974482,0.2571262945619859,-0.23250136594264692
11,11,"(4, 3, 2)",9,0.7853981633974483,0.2863983779027748,0.019322655243910858
12,12,"(4, 3, 1, 1)",9,0.7853981633974482,0.21522832439606,-0.17493235744170388
13,13,"(4, 2, 2, 1)",9,0.7853981633974483,0.21522832439606,0.09568346513065773
14,14,"(4, 2, 1, 1, 1)",9,0.7853981633974483,0.2571262945619859,0.22415097648339355
15,15,"(3, 3, 2, 1)",9,0.7853981633974483,0.28639837790277495,-0.06977816541088266
16,16,"(3, 2, 2, 1, 1)",9,0.7853981633974483,0.21118485558312666,-0.07045133269896375
17,17,"(3, 2, 1, 1, 1, 1)",9,0.7853981633974482,0.24924021856871637,-0.17613685461321094
18,18,"(7, 2, 1)",10,0.7853981633974483,0.24423098762496087,0.21789537307449292
19,19,"(6, 3, 1)",10,0.7853981633974483,0.22637939053570771,0.2088824619221321
20,20,"(6, 2, 1, 1)",10,0.7853981633974483,0.2518330521972567,0.25019471529148074
21,21,"(5, 4, 1)",10,0.7853981633974483,0.1763404241173172,0.12662608634413097
22,22,"(5, 3, 2)",10,0.7853981633974483,0.2914539826498332,0.09231702118377183
23,23,"(5, 3, 1, 1)",10,0.7853981633974482,0.24861800548723512,-0.22087717808262308
24,24,"(5, 2, 2, 1)",10,0.7853981633974482,0.21752716562528018,-0.12755245112898184
25,25,"(5, 2, 1, 1, 1)",10,0.7853981633974482,0.25383127133491534,-0.2526802551420788
26,26,"(4, 3, 1, 1, 1)",10,0.7853981633974481,0.21752716562528018,-0.20521055948937494
27,27,"(4, 2, 2, 1, 1)",10,0.7853981633974481,0.22087717808262308,-0.13269477452273293
28,28,"(4, 2, 1, 1, 1, 1)",10,0.7853981633974482,0.2518330521972567,-0.23819754424410355
29,29,"(3, 3, 2, 1, 1)",10,0.7853981633974483,0.29145398264983324,0.11339300725726709
30,30,"(3, 2, 2, 2, 1)",10,0.7853981633974483,0.17634042411731743,-0.005886184447962961
31,31,"(3, 2, 2, 1, 1, 1)",10,0.7853981633974483,0.20888246192213256,0.09123226867179213
32,32,"(3, 2, 1, 1, 1, 1, 1)",10,0.7853981633974482,0.24423098762496132,-0.18780713989320486
33,33,"(8, 2, 1)",11,0.7853981633974483,0.23952352119384124,0.2258247565128339
34,34,"(7, 3, 1)",11,0.7853981633974483,0.2461198122646519,0.20461115960609483
35,35,"(7, 2, 1, 1)",11,0.7853981633974482,0.26166773359966555,-0.2466116469572146
36,36,"(6, 4, 1)",11,0.7853981633974483,0.20579450161984397,0.18415600050478198
37,37,"(6, 3, 2)",11,0.7853981633974483,0.28867969405090016,0.1265431280321378
38,38,"(6, 3, 1, 1)",11,0.7853981633974482,0.2824966674260887,-0.2180667140385113
39,39,"(6, 2, 2, 1)",11,0.7853981633974483,0.21710423477189167,0.14651289253116317
40,40,"(6, 2, 1, 1, 1)",11,0.7853981633974482,0.27107791009678994,-0.24712295564837827
41,41,"(5, 4, 2)",11,0.7853981633974483,0.22385641345147778,0.042549678129463475
42,42,"(5, 4, 1, 1)",11,0.7853981633974482,0.19124860528784726,-0.18683459676035596
43,43,"(5, 3, 1, 1, 1)",11,0.7853981633974482,0.2772291465348946,-0.22274068451295825
44,44,"(5, 2, 2, 1, 1)",11,0.7853981633974483,0.22274068451295825,0.16334008837721026
45,45,"(5, 2, 1, 1, 1, 1)",11,0.7853981633974483,0.2669283124878232,0.24712295564837827
46,46,"(4, 4, 2, 1)",11,0.7853981633974482,0.2965514378709111,-0.13880503486917384
47,47,"(4, 3, 3, 1)",11,0.7853981633974483,0.1674480792196894,-0.05906282649619232
48,48,"(4, 3, 2, 2)",11,0.7853981633974483,0.2965514378709107,0.0689784759359443
49,49,"(4, 3, 1, 1, 1, 1)",11,0.7853981633974483,0.22464355774663325,0.21710423477189167
50,50,"(4, 2, 2, 2, 1)",11,0.7853981633974483,0.1868345967603558,-0.06505609879141439
51,51,"(4, 2, 2, 1, 1, 1)",11,0.7853981633974481,0.2180667140385113,-0.15124863752902318
52,52,"(4, 2, 1, 1, 1, 1, 1)",11,0.7853981633974482,0.24819412163417276,-0.2466116469572146
53,53,"(3, 3, 2, 2, 1)",11,0.7853981633974483,0.2238564134514779,-0.006831405152727399
54,54,"(3, 3, 2, 1, 1, 1)",11,0.7853981633974482,0.28867969405090044,-0.13597613336898373
55,55,"(3, 2, 2, 2, 1, 1)",11,0.7853981633974483,0.1841560005047822,-0.04070745894888361
56,56,"(3, 2, 2, 1, 1, 1, 1)",11,0.7853981633974481,0.20461115960609533,-0.10488726543252369
57,57,"(3, 2, 1, 1, 1, 1, 1, 1)",11,0.7853981633974482,0.23952352119384113,-0.19690309927086336
58,58,"(9, 2, 1)",12,0.7853981633974483,0.23520746185167596,0.23158820120761192
59,59,"(8, 3, 1)",12,0.7853981633974483,0.25878800662998575,0.19999037008416903
60,60,"(8, 2, 1, 1)",12,0.7853981633974482,0.2696705430198225,-0.24178368757363078
61,61,"(7, 4, 1)",12,0.7853981633974483,0.2423219049826077,0.1830660153130248
62,62,"(7, 3, 2)",12,0.7853981633974483,0.28431109019339956,0.1463644106626656
63,63,"(7, 3, 1, 1)",12,0.7853981633974482,0.3019469433367199,-0.2134737192365348
64,64,"(7, 2, 2, 1)",12,0.7853981633974482,0.21562766185083415,-0.15901173622260245
65,65,"(7, 2, 1, 1, 1)",12,0.7853981633974481,0.28234775858364003,-0.2417296197205605
66,66,"(6, 5, 1)",12,0.7853981633974483,0.15727239763539297,0.13113957271729465
67,67,"(6, 4, 2)",12,0.7853981633974483,0.230179391547586,0.12054777640085695
68,68,"(6, 4, 1, 1)",12,0.7853981633974482,0.26916710138847755,-0.19401259887971367
